date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:13	32151/32151	---M-Z	200	added ('OK')	text/html	etag:W/%2263ca4ebf-7d97%22	https://mzucker.github.io/2016/08/15/page-dewarping.html	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/2016/08/15/page-dewarping.html	(from )
14:46:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://mzucker.github.io/robots.txt		(from )
14:46:14	7906/7906	---M-Z	200	added ('OK')	text/css	etag:W/%2263ca4ebf-1ee2%22	https://mzucker.github.io/css/main.css	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/css/main.css	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:14	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/www.google-analytics.com/analytics.js	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:15	346978/346978	---M--	200	added ('OK')	image/png	etag:%2263ca4ebb-54b62%22	https://mzucker.github.io/images/page_dewarp/linguistics_thesis_a_before_after.png	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/linguistics_thesis_a_before_after.png	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:15	80319/80319	---M--	200	added ('OK')	image/png	etag:%2263ca4ebb-139bf%22	https://mzucker.github.io/images/page_dewarp/cubic_splines.png	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/cubic_splines.png	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:15	7481/7481	---M--	200	added ('OK')	image/png	etag:%2263ca4ebb-1d39%22	https://mzucker.github.io/images/page_dewarp/linguistics_thesis_a_debug_0.1_thresholded.png	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/linguistics_thesis_a_debug_0.1_thresholded.png	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:16	409519/409519	---M--	200	added ('OK')	image/gif	etag:%2263ca4ebb-63faf%22	https://mzucker.github.io/images/page_dewarp/page_warping.gif	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/page_warping.gif	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:16	6088/6088	---M--	200	added ('OK')	image/png	etag:%2263ca4ebb-17c8%22	https://mzucker.github.io/images/page_dewarp/linguistics_thesis_a_debug_0.2_dilated.png	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/linguistics_thesis_a_debug_0.2_dilated.png	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
14:46:16	335602/335602	---M--	200	added ('OK')	image/png	etag:%2263ca4ebb-51ef2%22	https://mzucker.github.io/images/page_dewarp/linguistics_thesis_a_keypoints.png	C:/Users/Sadek/Documents/GitHub/Project/offline-signature/Reference/Page%20dewarping/mzucker.github.io/images/page_dewarp/linguistics_thesis_a_keypoints.png	(from https://mzucker.github.io/2016/08/15/page-dewarping.html)
